id;time;x;y;z
1;1708625480656;-0.06131608;0.33379877;9.91466
2;1708625480848;-0.05922236;0.33738798;9.917353
3;1708625481047;-0.0634098;0.33529428;9.918549
4;1708625481249;-0.062512495;0.33589247;9.913465
5;1708625481449;-0.063110694;0.3361916;9.91825
6;1708625481648;-0.05922236;0.3400799;9.917053
7;1708625481848;-0.05922236;0.3367898;9.918549
8;1708625482047;-0.059521463;0.33559337;9.917951
9;1708625482264;-0.060717873;0.3361916;9.9191475
10;1708625482447;-0.060418773;0.33499518;9.917951
11;1708625482647;-0.059521463;0.3379862;9.917651
12;1708625482848;-0.05712864;0.32243285;9.90838
13;1708625483047;-0.06729814;0.35413775;9.933804
14;1708625483250;-0.06610172;0.34277186;9.922438
15;1708625483449;-0.05922236;0.3394817;9.923933
16;1708625483649;-0.063110694;0.34037903;9.919745
17;1708625483849;-0.060418773;0.33888352;9.9191475
18;1708625484049;-0.056530435;0.34187454;9.922138
19;1708625484248;-0.0637089;0.3385844;9.917951
20;1708625484448;-0.064905316;0.3394817;9.922438
21;1708625484649;-0.06729814;0.34307095;9.925129
22;1708625484849;-0.066400826;0.34157544;9.921839
23;1708625485048;-0.06131608;0.34247273;9.920643
24;1708625485247;-0.058325052;0.34426737;9.921839
25;1708625485448;-0.061914288;0.34396824;9.924531
26;1708625485648;-0.062512495;0.3397808;9.921839
27;1708625485846;-0.061016977;0.3397808;9.921241
28;1708625486048;-0.063110694;0.34396824;9.922138
29;1708625486247;-0.07627122;0.34965122;9.9344015
30;1708625486447;-0.070289165;0.35114673;9.931709
31;1708625486647;-0.06969096;0.35234314;9.931111
32;1708625486846;-0.06999006;0.35114673;9.934999
33;1708625487047;-0.07148558;0.3499503;9.930812
34;1708625487246;-0.0741775;0.3469593;9.9344015
35;1708625487447;-0.06849455;0.3502494;9.926924
36;1708625487652;-0.069391854;0.35174492;9.932009
37;1708625487845;-0.06999006;0.3487539;9.929914
38;1708625488045;-0.071186475;0.3499503;9.932009
39;1708625488245;-0.07238288;0.35383865;9.929914
40;1708625488448;-0.06969096;0.35174492;9.931111
41;1708625488646;-0.071186475;0.35084763;9.931111
42;1708625488846;-0.0735793;0.35294133;9.933205
43;1708625489046;-0.0738784;0.35712877;9.933504
44;1708625489247;-0.07058827;0.34546378;9.925428
45;1708625489446;-0.07627122;0.35563326;9.932607
46;1708625489645;-0.071186475;0.35114673;9.929914
47;1708625489845;-0.069391854;0.3487539;9.927522
48;1708625490045;-0.07208378;0.35623148;9.9293165
49;1708625490245;-0.07178468;0.35084763;9.927223
50;1708625490445;-0.06999006;0.3475575;9.926924
51;1708625490645;-0.07298109;0.35264224;9.930214
52;1708625490845;-0.07686943;0.35294133;9.932009
53;1708625491045;-0.071186475;0.35234314;9.928419
54;1708625491244;-0.07507481;0.35234314;9.933205
55;1708625491446;-0.07148558;0.3499503;9.935897
56;1708625491645;-0.07058827;0.35264224;9.929616
57;1708625491846;-0.06999006;0.35383865;9.932009
58;1708625492046;-0.076570325;0.3475575;9.935597
59;1708625492245;-0.06849455;0.35443684;9.933205
60;1708625492445;-0.07447661;0.35324043;9.933504
61;1708625492645;-0.06909275;0.35294133;9.939785
62;1708625492846;-0.07208378;0.34666017;9.935597
63;1708625493046;-0.07058827;0.34157544;9.937692
64;1708625493246;-0.071186475;0.3493521;9.939187
